0.0011 	WARNING 	Monitor specification not found. Creating a temporary one...
812.6308 	DATA 	Keypress: 1
814.3230 	DATA 	Keypress: 1
815.9942 	DATA 	Keypress: 4
817.6558 	DATA 	Keypress: 1
820.3855 	DATA 	Keypress: 1
822.0401 	DATA 	Keypress: 4
824.0673 	DATA 	Keypress: 3
825.8390 	DATA 	Keypress: 3
827.6571 	DATA 	Keypress: 3
829.2941 	DATA 	Keypress: 3
831.2286 	DATA 	Keypress: 4
832.7269 	DATA 	Keypress: 1
834.4221 	DATA 	Keypress: 1
836.2217 	DATA 	Keypress: 1
838.1064 	DATA 	Keypress: 1
839.8390 	DATA 	Keypress: 4
841.5602 	DATA 	Keypress: 1
